Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-bi-popole	bipopole	BIPOPOLE	abvd	DREAM (SOMETHING)	abvd_50_todream_1
-kan	kan	KAN	abvd	BURN	abvd_144_toburn_40
-ndue	ndue	NDUE	abvd	FLOW	abvd_123_toflow_82
-poŋa	poa	POA	abvd	GROW	-
-sowe	sowe	SOWE	abvd	COUNT	abvd_196_tocount_19
a-ioka	aioka	AIOKA	abvd	WALK	-
a-ka	aka	AKA	abvd	EAT	abvd_37_toeat_1
a-kai	akai	AKAI	abvd	HOLD	-
a-kenu	akenu	AKENU	abvd	SLEEP	abvd_48_tosleep_8
a-kenu tiniŋɡa	akenutiniɡa	AKENUTINIGA	abvd	LIE DOWN	abvd_49_toliedown_1
a-ku	aku	AKU	abvd	SUCK	-
a-lo a-poto	aloapoto	ALOAPOTO	abvd	TURN	-
a-loŋo	aloo	ALOO	abvd	HEAR	abvd_44_tohear_1
a-lua	alua	ALUA	abvd	VOMIT	abvd_35_tovomit_8
a-mandi	amandi	AMANDI	abvd	STAND	abvd_52_tostand_1
a-mora	amora	AMORA	abvd	SEE	-
a-moti	amoti	AMOTI	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
a-moŋai	amoai	AMOAI	abvd	BE ALIVE	-
a-nu	anu	ANU	abvd	DRINK	abvd_40_todrink_1
a-pa	apa	APA	abvd	FASTEN	abvd_66_totieupfasten_11
a-pane	apane	APANE	abvd	SHOOT	abvd_70_toshoot_1
a-poko	apoko	APOKO	abvd	PAINFUL OR SICK	-
a-pu	apu	APU	abvd	HIT	abvd_72_tohit_23
a-pu mɔte	apumɔte	APUMOTE	abvd	KILL	abvd_74_tokill_1
a-ruru	aruru	ARURU	abvd	FEAR (BE AFRAID)	abvd_22_tofear_76
a-sama	asama	ASAMA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_117
a-sapara	asapara	ASAPARA	abvd	SPIT	-
a-saŋona	asaona	ASAONA	abvd	SIT	-
a-soa	asoa	ASOA	abvd	CUT OR HACK	-
a-sowe	asowe	ASOWE	abvd	STAB	abvd_71_tostabpierce_1
a-soŋo ŋɡira	asooɡira	ASOOGIRA	abvd	CHEW	abvd_38_tochew_62
a-suta	asuta	ASUTA	abvd	SEW	-
a-suŋɡu	asuɡu	ASUGU	abvd	SWIM	abvd_9_toswim_95
a-taa	ataa	ATAA	abvd	CRY	abvd_34_tocry_1
a-tambira	atambira	ATAMBIRA	abvd	THROW	-
a-wosa	awosa	AWOSA	abvd	HUNT	-
a-ŋele	aele	AELE	abvd	LAUGH	-
a-ŋiri	airi	AIRI	abvd	BITE	-
a-ŋo	ao	AO	abvd	SMELL (PERCEIVE)	-
aara	aara	AARA	abvd	GOOD	-
ambo	ambo	AMBO	abvd	IF	abvd_193_if_9
baani	baani	BAANI	abvd	WING	abvd_100_wing_2
bambana	bambana	BAMBANA	abvd	SHORT	-
bulu	bulu	BULU	abvd	YELLOW	-
du	du	DU	abvd	FOREST	abvd_127_woodsforest_113
džimona	džimona	DIMONA	abvd	MOON	-
džomana	džomana	DOMANA	abvd	WHEN	-
ea	ea	EA	abvd	WHO	-
i	i	I	abvd	HE OR SHE	abvd_184_heshe_1
ilo	ilo	ILO	abvd	IN	abvd_174_ininside_1
io	io	IO	abvd	FIRE	abvd_143_fire_1
iu	iu	IU	abvd	TAIL	abvd_105_tail_1
iŋa	ia	IA	abvd	FISH	abvd_111_fish_1
kaapa	kaapa	KAAPA	abvd	BELLY	abvd_14_belly_2
kaate	kaate	KAATE	abvd	LIVER	abvd_17_liver_1
kala	kala	KALA	abvd	SHOULDER	abvd_19_shoulder_1
kambwaŋe mota	kambwaemota	KAMBWAEMOTA	abvd	THIN	-
kambwaŋe ŋalae	kambwaealae	KAMBWAEALAE	abvd	THICK	-
kana	kana	KANA	abvd	BURN	abvd_144_toburn_40
kanaŋo	kanao	KANAO	abvd	FLESH OR MEAT	abvd_103_meatflesh_13
kapula	kapula	KAPULA	abvd	EGG	-
kapwa lelau	kapwalelau	KAPWALELAU	abvd	INTESTINES	-
karai	karai	KARAI	abvd	SKIN	-
karodži	karodži	KARODI	abvd	RAIN (PRECIPITATION)	-
kawa	kawa	KAWA	abvd	MOUTH	abvd_30_mouth_36
kie	kie	KIE	abvd	FOOT OR LEG	abvd_4_legfoot_1
kinda	kinda	KINDA	abvd	WE	abvd_185_we_1
kinde ta-poro ŋɡua	kindetaporoɡua	KINDETAPOROGUA	abvd	SAY	-
kindzi	kindzi	KINDSI	abvd	THEY	abvd_187_they_63
kinzi	kinzi	KINSI	abvd	THEY	abvd_187_they_25
kiwo-ŋɡu	kiwoɡu	KIWOGU	abvd	HUSBAND	abvd_57_husband_2
ko	ko	KO	abvd	ASH	abvd_146_ashes_1
koi	koi	KOI	abvd	STICK	abvd_79_stickwood_1
koi wolo	koiwolo	KOIWOLO	abvd	ROOT	-
koto	koto	KOTO	abvd	RAT	abvd_102_rat_3
koŋa	koa	KOA	abvd	OLD	-
ku-mɔ	kumɔ	KUMO	abvd	COME	abvd_7_tocome_1
kulu	kulu	KULU	abvd	HEAD	abvd_24_head_1
kulu pwau	kulupwau	KULUPWAU	abvd	HAIR	abvd_26_hair_3
kumbu	kumbu	KUMBU	abvd	BACK	abvd_13_back_101
kumbuboia	kumbuboia	KUMBUBOIA	abvd	COOK (SOMETHING)	abvd_39_tocook_113
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
kɔki	kɔki	KOKI	abvd	CLIMB	abvd_172_toclimb_32
laiti	laiti	LAITI	abvd	NEAR	-
laka	laka	LAKA	abvd	BRANCH	abvd_113_branch_1
lau	lau	LAU	abvd	LEAF	abvd_114_leaf_1
lawea	lawea	LAWEA	abvd	WIND	-
lawea i-oka	laweaioka	LAWEAIOKA	abvd	BLOW (OF WIND)	-
leŋge	lege	LEGE	abvd	CHOOSE	-
lima	lima	LIMA	abvd	FIVE	abvd_201_five_1
lo	lo	LO	abvd	WATER	-
lo-bwalika	lobwalika	LOBWALIKA	abvd	LAKE	-
lo-na	lona	LONA	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_92
loloa	loloa	LOLOA	abvd	LIGHTNING	abvd_135_lightning_101
lolondo	lolondo	LOLONDO	abvd	LONG	abvd_155_long_98
lolu	lolu	LOLU	abvd	CHILD	-
lou	lou	LOU	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_1
luma	luma	LUMA	abvd	HOUSE	abvd_61_house_1
