Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'asəb	asəb	ASEB	abvd	FIVE	abvd_201_five_2
'äʔhäʔ	ʔhʔ	HHH	abvd	NINE	abvd_205_nine_26
abiyal	abiyal	ABIUAL	abvd	YELLOW	-
abosoʔ	abosoʔ	ABOSOH	abvd	ROTTEN	abvd_112_rotten_56
aməs	aməs	AMES	abvd	ROOT	abvd_115_root_3
araiʔ	araiʔ	ARAIH	abvd	DIRTY	abvd_10_dirty_95
arå'iʔ	ariʔ	ARIH	abvd	DIRTY	abvd_10_dirty_95
asəb	asəb	ASEB	abvd	FIVE	abvd_201_five_2
awæh	awh	AWH	abvd	OPEN	abvd_92_toopenuncover_14
ba'iʔ	baiʔ	BAIH	abvd	WIND	abvd_136_wind_2
babaw	babaw	BABAW	abvd	ABOVE	abvd_175_above_2
baiw	baiw	BAIW	abvd	BUY	abvd_91_tobuy_23
baiʔ	baiʔ	BAIH	abvd	WIND	abvd_136_wind_2
baLiʔ	baliʔ	BALIH	abvd	WIND	abvd_136_wind_2
batoʔ	batoʔ	BATOH	abvd	STONE	abvd_120_stone_1
bazæʔ	bazʔ	BASH	abvd	HEAR	abvd_44_tohear_48
baŋəŝ	baəŝ	BAE	abvd	SKIN	abvd_12_skin_26
baŋəʃ	baəʃ	BAES	abvd	SKIN	abvd_12_skin_26
bi'waʔ	biwaʔ	BIWAH	abvd	THUNDER	abvd_134_thunder_24
biiwaʔ	biiwaʔ	BIIWAH	abvd	THUNDER	abvd_134_thunder_24
bilis	bilis	BILIS	abvd	HOLD	abvd_89_tohold_64
bintöʔän	bintʔn	BINTHN	abvd	STAR	abvd_130_star_1
bintœʔæn	bintʔn	BINTHN	abvd	STAR	abvd_130_star_1
biŝbiŝ	biŝbiŝ	BIBI	abvd	PAINFUL OR SICK	-
biyäʔ	biyʔ	BIUH	abvd	LEAF	abvd_114_leaf_2
biæʔ	biʔ	BIH	abvd	LEAF	abvd_114_leaf_2
bo'ok	book	BOOK	abvd	ROTTEN	abvd_112_rotten_1
boay	boay	BOAU	abvd	FRUIT	abvd_117_fruit_14
bokəs	bokəs	BOKES	abvd	HAIR	abvd_26_hair_1
bokəŝ	bokəŝ	BOKE	abvd	HAIR	abvd_26_hair_1
bolalas	bolalas	BOLALAS	abvd	WHITE	abvd_148_white_84
bolalasan	bolalasan	BOLALASAN	abvd	WHITE	abvd_148_white_84
bonaz	bonaz	BONAS	abvd	SAND	abvd_121_sand_2
bori'	bori	BORI	abvd	FLESH OR MEAT	abvd_103_meatflesh_73
borii	borii	BORII	abvd	FLESH OR MEAT	abvd_103_meatflesh_73
botœʔ	botʔ	BOTH	abvd	FASTEN	abvd_66_totieupfasten_99
boway	boway	BOWAU	abvd	FRUIT	abvd_117_fruit_14
boŝi'	boi	BOI	abvd	SIX	abvd_202_six_3
bäzäʔ	bzʔ	BSH	abvd	HEAR	abvd_44_tohear_48
böʔöl	bʔl	BHL	abvd	BONE	abvd_15_bone_44
bœʔœl	bʔl	BHL	abvd	BONE	abvd_15_bone_44
ehnak	ehnak	EHNAK	abvd	BREATHE	abvd_28_tobreathe_57
eʔazʔazəm	eʔazʔazəm	EHASHASEM	abvd	THINK	abvd_21_tothink_1
haawan	haawan	HAAWAN	abvd	NIGHT	abvd_167_night_62
haLoan	haloan	HALOAN	abvd	NIGHT	abvd_167_night_62
hapoy	hapoy	HAPOU	abvd	FIRE	abvd_143_fire_1
hawan	hawan	HAWAN	abvd	NIGHT	abvd_167_night_62
haynoʔ	haynoʔ	HAUNOH	abvd	WHERE	abvd_181_where_1
hiaʔ	hiaʔ	HIAH	abvd	WHO	abvd_189_who_33
hilaan	hilaan	HILAAN	abvd	DAY (NOT NIGHT)	abvd_168_day_5
hilaLan	hilalan	HILALAN	abvd	DAY (NOT NIGHT)	abvd_168_day_5
hini'	hini	HINI	abvd	THIS	abvd_177_this_1
