Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-matey	matey	MATEU	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-takale	takale	TAKALE	abvd	HEAR	abvd_44_tohear_26
abu	abu	ABU	abvd	ASH	abvd_146_ashes_1
aku	aku	AKU	abvd	I	abvd_182_i_1
alen	alen	ALEN	abvd	NAME	abvd_63_name_1
ampat	ampat	AMPAT	abvd	FOUR	abvd_200_four_1
anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
anda	anda	ANDA	abvd	WIFE	abvd_58_wife_36
antag	antag	ANTAG	abvd	WHERE	abvd_181_where_16
asin	asin	ASIN	abvd	SALT	abvd_125_salt_3
asu	asu	ASU	abvd	DOG	abvd_96_dog_1
atey	atey	ATEU	abvd	LIVER	abvd_17_liver_1
aʔa	aʔa	AHA	abvd	PERSON	abvd_53_personhumanbeing_28
baha	baha	BAHA	abvd	SHOULDER	abvd_19_shoulder_1
bahaʔ	bahaʔ	BAHAH	abvd	SWELL	abvd_87_toswell_1
bahiʔ	bahiʔ	BAHIH	abvd	OLD	-
basseʔ	basseʔ	BASSEH	abvd	WET	abvd_141_wet_1
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
bayu	bayu	BAUU	abvd	POUND	abvd_93_topoundbeat_1
baŋ	ba	BA	abvd	IF	abvd_193_if_20
baʔahu	baʔahu	BAHAHU	abvd	NEW	abvd_163_new_1
begumbun	begumbun	BEGUMBUN	abvd	DUST	abvd_11_dust_71
behe	behe	BEHE	abvd	MOUTH	abvd_30_mouth_1
belili	belili	BELILI	abvd	GRASS	abvd_118_grass_1
beliu	beliu	BELIU	abvd	WIND	abvd_136_wind_2
bella	bella	BELLA	abvd	COOK (SOMETHING)	abvd_39_tocook_34
belli	belli	BELLI	abvd	BUY	abvd_91_tobuy_1
bennal	bennal	BENNAL	abvd	CORRECT (RIGHT)	-
betteŋ	bette	BETTE	abvd	BELLY	abvd_14_belly_29
bettis	bettis	BETTIS	abvd	FOOT OR LEG	abvd_4_legfoot_23
bibaŋ	biba	BIBA	abvd	LEFT	abvd_2_left_24
binaniŋ	binani	BINANI	abvd	YELLOW	abvd_150_yellow_37
binonoʔ	binonoʔ	BINONOH	abvd	STAB	-
bira	bira	BIRA	abvd	TURN	abvd_8_toturn_4?
bituʔun	bituʔun	BITUHUN	abvd	STAR	abvd_130_star_1
bohat	bohat	BOHAT	abvd	HEAVY	abvd_142_heavy_1
boheʔ	boheʔ	BOHEH	abvd	WATER	abvd_122_water_25
bonoʔ	bonoʔ	BONOH	abvd	KILL	abvd_74_tokill_1
buaʔ	buaʔ	BUAH	abvd	LIVER	-
buhuk	buhuk	BUHUK	abvd	ROTTEN	abvd_112_rotten_1
bukut	bukut	BUKUT	abvd	BACK	abvd_13_back_46
bulak	bulak	BULAK	abvd	EARTH (SOIL)	-
bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
bulu	bulu	BULU	abvd	FEATHER	abvd_99_feather_1
buu kook	buukook	BUUKOOK	abvd	HAIR	abvd_26_hair_31
da hatus	dahatus	DAHATUS	abvd	HUNDRED	abvd_209_onehundred_4
dalum	dalum	DALUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
dawen	dawen	DAWEN	abvd	LEAF	abvd_114_leaf_1
de ngibu	dengibu	DENGIBU	abvd	THOUSAND	abvd_210_onethousand_5
dellaʔ	dellaʔ	DELLAH	abvd	TONGUE	abvd_32_tongue_4
dende	dende	DENDE	abvd	FEMALE PERSON	abvd_55_womanfemale_31
di	di	DI	abvd	AT	abvd_173_at_20
di-alem	dialem	DIALEM	abvd	IN	abvd_174_ininside_1
di-ataʔ	diataʔ	DIATAH	abvd	ABOVE	abvd_175_above_1
di-awaʔ	diawaʔ	DIAWAH	abvd	BELOW OR UNDER	abvd_176_below_1?
dikiʔ	dikiʔ	DIKIH	abvd	SMALL	abvd_152_small_138
dugsu	dugsu	DUGSU	abvd	STAB	-
duk	duk	DUK	abvd	AND	-
dumaʔin	dumaʔin	DUMAHIN	abvd	NO OR NOT	-
duwe	duwe	DUWE	abvd	TWO	abvd_198_two_1
duwempū'	duwemp	DUWEMP	abvd	TWENTY	abvd_207_twenty_3
ebbut	ebbut	EBBUT	abvd	FIRE	-
eddek	eddek	EDDEK	abvd	PLANT (SOMETHING)	-
eggas	eggas	EGGAS	abvd	BURN	-
ella	ella	ELLA	abvd	HUSBAND	abvd_57_husband_52
ellew	ellew	ELLEW	abvd	DAY (NOT NIGHT)	abvd_168_day_1
ellum	ellum	ELLUM	abvd	BE ALIVE	abvd_76_tolivebealive_33
ennem	ennem	ENNEM	abvd	SIX	abvd_202_six_1
eŋko	eko	EKO	abvd	TAIL	abvd_105_tail_1
gabun	gabun	GABUN	abvd	CLOUD	abvd_131_cloud_1
gadduŋ	gaddu	GADDU	abvd	GREEN	abvd_151_green_28
gamut	gamut	GAMUT	abvd	ROOT	abvd_115_root_3
gaŋu	gau	GAU	abvd	DRY	abvd_140_dry_1
gaʔi	gaʔi	GAHI	abvd	NO OR NOT	-
gulaŋan	gulaan	GULAAN	abvd	FOREST	abvd_127_woodsforest_2
haggut	haggut	HAGGUT	abvd	COLD	abvd_139_cold_35
haje	haje	HAYE	abvd	BIG	abvd_153_big_1?
hamut	hamut	HAMUT	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_99
hap	hap	HAP	abvd	GOOD	abvd_164_good_36
hatul	hatul	HATUL	abvd	GOOD	abvd_164_good_36
hinaŋ	hina	HINA	abvd	WORK (ACTIVITY)	abvd_83_towork_36
ian	ian	IAN	abvd	THAT	abvd_178_that_1
iaʔ	iaʔ	IAH	abvd	SHY OR ASHAMED	abvd_161_shyashamed_1
ie	ie	IE	abvd	HE OR SHE	abvd_184_heshe_1
impen	impen	IMPEN	abvd	TOOTH	abvd_31_tooth_1
ine	ine	INE	abvd	WHAT	abvd_188_what_2
ini|n	inin	ININ	abvd	THIS	abvd_177_this_1
inum	inum	INUM	abvd	DRINK	abvd_40_todrink_1
isi	isi	ISI	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
issaʔ	issaʔ	ISSAH	abvd	ONE	abvd_197_one_1
ittem	ittem	ITTEM	abvd	BLACK	abvd_147_black_1
ituŋ	itu	ITU	abvd	COUNT	abvd_196_tocount_31
ituʔ	ituʔ	ITUH	abvd	THAT	abvd_178_that_16
iŋge	ige	IGE	abvd	WHERE	-
iŋket	iket	IKET	abvd	FASTEN	abvd_66_totieupfasten_1
kakan	kakan	KAKAN	abvd	EAT	abvd_37_toeat_1
kalih	kalih	KALIH	abvd	DIG	abvd_90_todig_1
kami	kami	KAMI	abvd	WE	abvd_185_we_2
kanawan	kanawan	KANAWAN	abvd	RIGHT	abvd_3_right_1
kayu	kayu	KAUU	abvd	STICK	abvd_79_stickwood_1
kaʔam	kaʔam	KAHAM	abvd	YOU	abvd_186_you_1
kaʔu	kaʔu	KAHU	abvd	THOU	abvd_183_thou_1
kekkeb	kekkeb	KEKKEB	abvd	BITE	abvd_41_tobite_36
kelloŋ	kello	KELLO	abvd	NECK	abvd_25_neck_76
kemmut	kemmut	KEMMUT	abvd	MOSQUITO	abvd_109_mosquito_1?
kemon	kemon	KEMON	abvd	ALL	abvd_191_all_1
kenna	kenna	KENNA	abvd	FISH	abvd_111_fish_95
kepak	kepak	KEPAK	abvd	SPLIT	-
kimmat	kimmat	KIMMAT	abvd	THINK	abvd_21_tothink_71
kinaputan	kinaputan	KINAPUTAN	abvd	HOLD	-
kiput	kiput	KIPUT	abvd	NARROW	abvd_158_narrow_47
kita	kita	KITA	abvd	WE	abvd_185_we_1
kite	kite	KITE	abvd	SEE	abvd_46_tosee_1
kok	kok	KOK	abvd	HEAD	abvd_24_head_40
koko'	koko	KOKO	abvd	SPIDER	abvd_110_spider_37
kuit	kuit	KUIT	abvd	SKIN	abvd_12_skin_1
kukut	kukut	KUKUT	abvd	SCRATCH	abvd_77_toscratch_21
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
laboʔ	laboʔ	LABOH	abvd	FALL	abvd_95_tofall_1
