Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-aː	aː	A	northeuralex	BEGIN	-
-buol	buol	BUOL	northeuralex	OFTEN	-
-dʲi	dʲi	DI	northeuralex	OFTEN	-
-mu	mu	MU	northeuralex	BECOME	-
-nʲe	nʲe	NE	northeuralex	OWN	-
-s	s	S	northeuralex	CAUSE TO (LET)	-
-se	se	SE	northeuralex	CAUSE TO (LET)	-
-t͡ʃe	tʃe	TSE	northeuralex	COME	-
-t͡ʃiː	tʃiː	TSI	northeuralex	CAUSE TO (LET)	-
abut͡ʃeː	abutʃeː	ABUTSE	northeuralex	GRANDMOTHER	-
aduo	aduo	ADUO	northeuralex	SON	-
ajinu-	ajinu	AYINU	northeuralex	SHOOT	-
akaː	akaː	AKA	northeuralex	BROTHER	-
al	al	AL	northeuralex	BELOW OR UNDER	-
alun	alun	ALUN	northeuralex	LOW	-
alʁamlanʲ	alʁamlanʲ	ALRAMLAN	northeuralex	A LITTLE	-
alʁudeŋ	alʁudeŋ	ALRUDEN	northeuralex	DOWN	-
alʲaː-	alʲaː	ALA	northeuralex	THAW (DEW)	-
alʲaːje	alʲaːje	ALAYE	northeuralex	LIVER	-
alʲaːjeŋ	alʲaːjeŋ	ALAYEN	northeuralex	LIVER	-
alʲʁa	alʲʁa	ALRA	northeuralex	FISH	-
amalariːt͡ʃe	amalariːtʃe	AMALARITSE	northeuralex	PHYSICIAN	-
amalit͡ʃt͡ʃe	amalitʃtʃe	AMALITSTSE	northeuralex	MEDICINE	-
amaxaː-	amaxaː	AMAKA	northeuralex	RECOVER	-
amaː	amaː	AMA	northeuralex	FATHER	-
amdu-	amdu	AMDU	northeuralex	BOLT (MOVE IN HASTE)	-
amudʲesu-	amudʲesu	AMUDESU	northeuralex	DECORATE	-
amudʲiː-	amudʲiː	AMUDI	northeuralex	LOVE	-
amun	amun	AMUN	northeuralex	BONE	-
amuo	amuo	AMUO	northeuralex	DEAR	-
amut͡ʃerukun	amutʃerukun	AMUTSERUKUN	northeuralex	GOOD	-
anadelʲil	anadelʲil	ANADELIL	northeuralex	VOICE	-
anaː	anaː	ANA	northeuralex	MOUNTAIN	-
ani-	ani	ANI	northeuralex	DONATE	-
annʲe-	annʲe	ANNE	northeuralex	SPEAK	-
antes-	antes	ANTES	northeuralex	TOUCH	-
anŋije	anŋije	ANNIYE	northeuralex	WAVE	-
anŋijeŋ	anŋijeŋ	ANNIYEN	northeuralex	WAVE	-
anʁi-	anʁi	ANRI	northeuralex	COMB (VERB)	-
apte-	apte	APTE	northeuralex	GATHER	-
araw	araw	ARAW	northeuralex	NAKED	-
arime	arime	ARIME	northeuralex	FOOT	-
aruː	aruː	ARU	northeuralex	SPEECH	-
aruːn_molʲʁal	aruːnmolʲʁal	ARUNMOLRAL	northeuralex	MEANING	-
arxulʲ	arxulʲ	ARKUL	northeuralex	SUPPORT (OF OBJECT)	-
awjaː	awjaː	AWYA	northeuralex	YESTERDAY	-
awjaːʁar	awjaːʁar	AWYARAR	northeuralex	EVENING	-
awur	awur	AWUR	northeuralex	LAIR	-
ax	ax	AK	northeuralex	BECAUSE OF	-
aŋa	aŋa	ANA	northeuralex	MOUTH	-
aŋanbuɡut͡ʃe	aŋanbugutʃe	ANANBUGUTSE	northeuralex	MOUSTACHE	-
aŋanʲuɡut͡ʃe	aŋanʲugutʃe	ANANUGUTSE	northeuralex	BEARD	-
aŋinduŋulʲ	aŋinduŋulʲ	ANINDUNUL	northeuralex	LID (COVER, CAP)	-
aʁaduolʲ	aʁaduolʲ	ARADUOL	northeuralex	SHORE OF LAKE	-
aʁalʲwe	aʁalʲwe	ARALWE	northeuralex	LAUGHTER	-
aʁalʲwe-	aʁalʲwe	ARALWE	northeuralex	LAUGH	-
aʁare	aʁare	ARARE	northeuralex	BREATH	-
aʁare-	aʁare	ARARE	northeuralex	BREATHE	-
aʁil	aʁil	ARIL	northeuralex	SHORE OF LAKE	-
aʁuol-	aʁuol	ARUOL	northeuralex	STAND	-
aːrej-	aːrej	AREY	northeuralex	HALT (STOP)	-
aːriː	aːriː	ARI	northeuralex	GUN	-
aːriːŋ	aːriːŋ	ARIN	northeuralex	GUN	-
aːwaːl	aːwaːl	AWAL	northeuralex	BED	-
aːwe	aːwe	AWE	northeuralex	SLEEP (STATE)	-
aːwe-	aːwe	AWE	northeuralex	SLEEP	-
aːwiː	aːwiː	AWI	northeuralex	BLANKET	-
bat͡ʃiːŋke	batʃiːŋke	BATSINKE	northeuralex	SHOE	-
boskiriseːnne	boskiriseːnne	BOSKIRISENNE	northeuralex	SUNDAY	-
bul-	bul	BUL	northeuralex	902_wish	-
bunʲ-	bunʲ	BUN	northeuralex	WANT	-
bɨlaːs	bɨlaːs	BILAS	northeuralex	POWER	-
dereːbine	dereːbine	DEREBINE	northeuralex	VILLAGE	-
doruobuja	doruobuja	DORUOBUYA	northeuralex	HEALTHY	-
edu-	edu	EDU	northeuralex	BURNING	-
edʲil	edʲil	EDIL	northeuralex	LIFE	-
edʲuolʲi	edʲuolʲi	EDUOLI	northeuralex	797_beafraidof	-
ejk	ejk	EYK	northeuralex	AND	-
ekuː	ekuː	EKU	northeuralex	HOLE	-
ekɨe	ekɨe	EKIE	northeuralex	SISTER	-
el	el	EL	northeuralex	NOT	-
el_eŋnʲej	eleŋnʲej	ELENNEY	northeuralex	LAZY	-
el_nemenʲej	elnemenʲej	ELNEMENEY	northeuralex	POOR	-
elduːnʲe	elduːnʲe	ELDUNE	northeuralex	EMPTY	-
ele-	ele	ELE	northeuralex	SET (HEAVENLY BODIES)	-
