Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'ar	ar	AR	abvd	BITE	abvd_41_tobite_1
'eil	eil	EIL	abvd	DIG	abvd_90_todig_1
'eu	eu	EU	abvd	FEAR (BE AFRAID)	abvd_22_tofear_79
'i əŋ	iə	IE	abvd	SUCK	-
'iəŋ	iə	IE	abvd	DRINK	abvd_40_todrink_1
'oŋ	o	O	abvd	SEE	-
-lol alí-ak	lolalak	LOLALAK	abvd	BREATHE	-
-lul	lul	LUL	abvd	STAND	-
-ma	ma	MA	abvd	COME	abvd_7_tocome_1
-nasi pitʏ	nasipitʏ	NASIPIT	abvd	SIT	-
-or	or	OR	abvd	HUNT	abvd_69_tohunt_83
-pal aliŋ	palali	PALALI	abvd	SAY	abvd_64_tosay_50
-tou	tou	TOU	abvd	STAND	abvd_52_tostand_2
a's'	as	AS	abvd	DAY (NOT NIGHT)	abvd_168_day_1
ai atuŋ	aiatu	AIATU	abvd	FRUIT	abvd_117_fruit_8
ai rapiŋ	airapi	AIRAPI	abvd	ROOT	abvd_115_root_14
ai rawaŋ	airawa	AIRAWA	abvd	FLOWER	-
ai rouŋ	airou	AIROU	abvd	LEAF	abvd_114_leaf_1
aiʔárɛŋ	aiʔrɛ	AIHRE	abvd	BRANCH	abvd_113_branch_55
aluək	aluək	ALUEK	abvd	THINK	-
am	am	AM	abvd	YOU	abvd_186_you_1
amat	amat	AMAT	abvd	NEW	abvd_163_new_19
anesi	anesi	ANESI	abvd	WHEN	abvd_170_when_1
ani	ani	ANI	abvd	SNAKE	abvd_106_snake_41
anou-lal	anoulal	ANOULAL	abvd	IN	abvd_174_ininside_1
anou-rum	anourum	ANOURUM	abvd	IN	abvd_174_ininside_18
anóu	anu	ANU	abvd	HOUSE	abvd_61_house_7
asu|wuŋ	asuwu	ASUWU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
ati-ək	atiək	ATIEK	abvd	LIVER	abvd_17_liver_1
atér	atr	ATR	abvd	SKY	-
au	au	AU	abvd	FOUR	abvd_200_four_1
aur	aur	AUR	abvd	NECK	-
awi-ək	awiək	AWIEK	abvd	HAND	abvd_1_hand_62
awiə-k	awiək	AWIEK	abvd	HAND	abvd_1_hand_62
ein təniəŋ	eintəniə	EINTENIE	abvd	STICK	abvd_79_stickwood_1?
esei	esei	ESEI	abvd	WHO	abvd_189_who_1
eu	eu	EU	abvd	I	abvd_182_i_1
eŋ	e	E	abvd	HE OR SHE	abvd_184_heshe_21
gia'	gia	GIA	abvd	THIS	-
kakum	kakum	KAKUM	abvd	NARROW	-
kap	kap	KAP	abvd	NO OR NOT	abvd_195_nonot_105
kiruwouŋ	kiruwou	KIRUWOU	abvd	TURN	-
la'aiŋ	laai	LAAI	abvd	SMALL	-
lakəlei	lakəlei	LAKELEI	abvd	HOW	-
lalí-ak	lalak	LALAK	abvd	TONGUE	-
lapún	lapn	LAPN	abvd	OLD	abvd_162_old_42
las	las	LAS	abvd	SMELL (PERCEIVE)	-
lawi-ak	lawiak	LAWIAK	abvd	FOOT OR LEG	-
liwa	liwa	LIWA	abvd	SPIDER	abvd_110_spider_1
liəp	liəp	LIEP	abvd	FIRE	abvd_143_fire_1
liʔálaŋ	liʔla	LIHLA	abvd	YELLOW	-
lopliək	lopliək	LOPLIEK	abvd	WARM	-
louŋ	lou	LOU	abvd	FEATHER	abvd_99_feather_24
luət	luət	LUET	abvd	FALL	abvd_95_tofall_63
líu	lu	LU	abvd	FASTEN	abvd_66_totieupfasten_1
maliəl	maliəl	MALIEL	abvd	WET	-
mam	mam	MAM	abvd	FATHER	abvd_60_father_1
matakərí-ək	matakərək	MATAKEREK	abvd	EYE	abvd_45_eye_1
mateiŋ	matei	MATEI	abvd	SHARP	abvd_81_sharp_36
matʏitʏ	matʏitʏ	MATIT	abvd	COLD	abvd_139_cold_1
mawaŋ	mawa	MAWA	abvd	SLEEP	-
mawáŋ	maw	MAW	abvd	RIGHT	abvd_3_right_1
mawór	mawr	MAWR	abvd	FOG	-
minúəŋ	minə	MINE	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_1
miət	miət	MIET	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
miəŋ	miə	MIE	abvd	BIRD	abvd_97_bird_1
mom	mom	MOM	abvd	SWIM	-
múliəp	mliəp	MLIEP	abvd	THUNDER	-
məlau	məlau	MELAU	abvd	LONG	abvd_155_long_12
məláu	məlu	MELU	abvd	FAR	abvd_180_far_21
namái	nami	NAMI	abvd	HEAVY	-
nau	nau	NAU	abvd	SEA	abvd_124_sea_42
nyilu-ək	nyiluək	NUILUEK	abvd	TOOTH	-
nyip	nyip	NUIP	abvd	GREEN	-
nyiʔuŋ	nyiʔu	NUIHU	abvd	TAIL	abvd_105_tail_1
nyuəm	nyuəm	NUUEM	abvd	MOSQUITO	abvd_109_mosquito_1
