Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abagá	abag	ABAG	abvd	SHOULDER	abvd_19_shoulder_1
abú	ab	AB	abvd	ASH	abvd_146_ashes_1
addú	add	ADD	abvd	TWO	abvd_198_two_1
addúg	addg	ADDG	abvd	THUNDER	abvd_134_thunder_2
adwáfulu	adwfulu	ADWPULU	abvd	TWENTY	abvd_207_twenty_3
afúy	afy	APU	abvd	FIRE	abvd_143_fire_1
agginán	agginn	AGGINN	abvd	WHERE	-
agál	agl	AGL	abvd	LIVER	abvd_17_liver_16
agáw	agw	AGW	abvd	DAY (NOT NIGHT)	abvd_168_day_1
agút	agt	AGT	abvd	FLOW	abvd_123_toflow_2
akkán	akkn	AKKN	abvd	EAT	abvd_37_toeat_1
akákawa	akkawa	AKKAWA	abvd	SPIDER	abvd_110_spider_1
allikúd	allikd	ALLIKD	abvd	BACK	abvd_13_back_1
alwáng	alwng	ALWNG	abvd	WIDE	abvd_159_wide_1
alínak	alnak	ALNAK	abvd	SHORT	abvd_154_short_89
ammanní	ammann	AMMANN	abvd	WHEN	-
ammá	amm	AMM	abvd	THAT	-
amnínna	amnnna	AMNNNA	abvd	HOW	-
amá	am	AM	abvd	FATHER	abvd_60_father_1
amáw	amw	AMW	abvd	LAUGH	-
angát	angt	ANGT	abvd	BREATHE	abvd_28_tobreathe_23
annám	annm	ANNM	abvd	SIX	abvd_202_six_1
antú	ant	ANT	abvd	CORRECT (RIGHT)	-
anák	ank	ANK	abvd	CHILD	abvd_56_child_1
anúp	anp	ANP	abvd	HUNT	abvd_69_tohunt_1
appát	appt	APPT	abvd	FOUR	abvd_200_four_1
assáb	assb	ASSB	abvd	THROW	-
asín	asn	ASN	abvd	SALT	abvd_125_salt_3
atallín	atalln	ATALLN	abvd	NARROW	-
atanán	atann	ATANN	abvd	ALL	abvd_191_all_24
atawá	ataw	ATAW	abvd	HUSBAND	abvd_57_husband_2
atáp	atp	ATP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
atú	at	AT	abvd	DOG	abvd_96_dog_1
atúk	atk	ATK	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
awán	awn	AWN	abvd	NO OR NOT	abvd_195_nonot_36
babbág	babbg	BABBG	abvd	WIND	abvd_136_wind_27
babáy	baby	BABU	abvd	FEMALE PERSON	abvd_55_womanfemale_1
baggina	baggina	BAGGINA	abvd	HE OR SHE	abvd_184_heshe_37
bakká	bakk	BAKK	abvd	SPLIT	abvd_80_tosplit_36
bambág	bambg	BAMBG	abvd	ROTTEN	-
bambáng	bambng	BAMBNG	abvd	EAR	abvd_43_ear_55
batá	bat	BAT	abvd	WET	abvd_141_wet_1
batú	bat	BAT	abvd	STONE	abvd_120_stone_1
bayág	bayg	BAUG	abvd	LONG	-
bayú	bay	BAU	abvd	POUND	abvd_93_topoundbeat_1
bibíg	bibg	BIBG	abvd	MOUTH	abvd_30_mouth_32
biláng	bilng	BILNG	abvd	COUNT	abvd_196_tocount_1
binalay	binalay	BINALAU	abvd	HOUSE	abvd_61_house_14
bitún	bitn	BITN	abvd	STAR	abvd_130_star_1
bubúng	bubng	BUBNG	abvd	THATCH OR ROOF	abvd_62_thatchroof_6
buk	buk	BUK	abvd	HAIR	abvd_26_hair_1
bukkát	bukkt	BUKKT	abvd	OPEN	abvd_92_toopenuncover_1
bukát	bukt	BUKT	abvd	RAT	abvd_102_rat_97
bullád	bulld	BULLD	abvd	OPEN	abvd_92_toopenuncover_67
bullák	bullk	BULLK	abvd	SMALL	-
bulán	buln	BULN	abvd	MOON	abvd_129_moon_1
bungá	bung	BUNG	abvd	FRUIT	abvd_117_fruit_9
bágu	bgu	BGU	abvd	NEW	abvd_163_new_1
bálag	blag	BLAG	abvd	FLESH OR MEAT	-
bángga	bngga	BNGGA	abvd	HIT	-
bátil	btil	BTIL	abvd	THROW	-
bébay	bbay	BBAU	abvd	SEA	abvd_124_sea_28
daddamán	daddamn	DADDAMN	abvd	PATH OR ROAD	abvd_6_roadpath_58
dagá	dag	DAG	abvd	BLOOD	abvd_23_blood_1
dagát	dagt	DAGT	abvd	SAND	abvd_121_sand_36
dagét	dagt	DAGT	abvd	SEW	abvd_67_tosew_2
dagún	dagn	DAGN	abvd	YEAR	abvd_169_year_43
dakál	dakl	DAKL	abvd	BIG	abvd_153_big_22
damá	dam	DAM	abvd	WALK	-
dandáng	dandng	DANDNG	abvd	WARM	abvd_138_warm_46
dansáw	dansw	DANSW	abvd	WHERE	abvd_181_where_27
danúm	danm	DANM	abvd	WATER	abvd_122_water_1
dilá	dil	DIL	abvd	TONGUE	abvd_32_tongue_4
dipá	dip	DIP	abvd	WHERE	abvd_181_where_9
don	don	DON	abvd	LEAF	abvd_114_leaf_1
duddúg	duddg	DUDDG	abvd	STAB	abvd_71_tostabpierce_41
dulám	dulm	DULM	abvd	CLOUD	abvd_131_cloud_123
dupák	dupk	DUPK	abvd	ROTTEN	-
dádak	ddak	DDAK	abvd	POUND	abvd_93_topoundbeat_1
dálu	dlu	DLU	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_72
dámmat	dmmat	DMMAT	abvd	HEAVY	abvd_142_heavy_22
dánga	dnga	DNGA	abvd	COME	-
dánnag	dnnag	DNNAG	abvd	FALL	abvd_95_tofall_102
dúdut	ddut	DDUT	abvd	FEATHER	abvd_99_feather_15
dúlat	dlat	DLAT	abvd	SKIN	-
dúngu	dngu	DNGU	abvd	COOK (SOMETHING)	-
fuddád	fuddd	PUDDD	abvd	BLOW (OF WIND)	-
fulikát	fulikt	PULIKT	abvd	THICK	-
fulláw	fullw	PULLW	abvd	WHITE	abvd_148_white_3
futún	futn	PUTN	abvd	BELLY	abvd_14_belly_52
