Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
bejd͡ʒe	bejdʒe	BEYDSE	northeuralex	EVERYWHERE	-
beriː	beriː	BERI	northeuralex	BELIEVE	-
beːtər	beːtər	BETER	northeuralex	OR	-
bilen	bilen	BILEN	northeuralex	APRIL	-
bilkə	bilkə	BILKE	northeuralex	FORK	-
bɑːl	bɑːl	BAL	northeuralex	WAVE	-
douruboːʎi	douruboːʎi	DOURUBOI	northeuralex	IN VAIN	-
doːχul	doːχul	DOKUL	northeuralex	BUTTERFLY	-
edeːʃ	edeːʃ	EDES	northeuralex	CALL	-
ediŋ	ediŋ	EDIN	northeuralex	THIS	-
ed͡ʒil	edʒil	EDSIL	northeuralex	LIFE	-
ed͡ʒoːʎə	edʒoːʎə	EDSOE	northeuralex	FEAR (BE AFRAID)	-
eje	eje	EYE	northeuralex	BOW	-
ejloː	ejloː	EYLO	northeuralex	WIDE	-
ejmundə	ejmundə	EYMUNDE	northeuralex	HALF	-
ejmə	ejmə	EYME	northeuralex	PRICE	-
ejməɲuməɲ	ejməɲuməɲ	EYMENUMEN	northeuralex	GET TIRED	-
ejrə	ejrə	EYRE	northeuralex	WALK	-
ejrəʃ	ejrəʃ	EYRES	northeuralex	LEAD (GUIDE)	-
ejtiŋ	ejtiŋ	EYTIN	northeuralex	THIS	-
ejuː	ejuː	EYU	northeuralex	885_get	-
eled͡ʒoː	eledʒoː	ELEDSO	northeuralex	DISAPPEAR	-
elejiː	elejiː	ELEYI	northeuralex	CARRY	-
eleŋɲə	eleŋɲə	ELENNE	northeuralex	LAZY	-
eliː	eliː	ELI	northeuralex	CARRY	-
embə	embə	EMBE	northeuralex	BLACK	-
emd͡ʒə	emdʒə	EMDSE	northeuralex	BROTHER	-
emej	emej	EMEY	northeuralex	MOTHER	-
emet͡ʃkə	emetʃkə	EMETSKE	northeuralex	SUDDENLY	-
emet͡ʃkəɲit	emetʃkəɲit	EMETSKENIT	northeuralex	SUDDENLY	-
emil	emil	EMIL	northeuralex	NIGHT	-
emul	emul	EMUL	northeuralex	ISLAND	-
emuː	emuː	EMU	northeuralex	DARK	-
end͡ʒoːn	endʒoːn	ENDSON	northeuralex	ANIMAL	-
epeː	epeː	EPE	northeuralex	GRANDMOTHER	-
erd͡ʒeː	erdʒeː	ERDSE	northeuralex	WANT	-
ere	ere	ERE	northeuralex	ONLY	-
eruː	eruː	ERU	northeuralex	BAD	-
eterɡən	etergən	ETERGEN	northeuralex	ANT	-
et͡ʃeː	etʃeː	ETSE	northeuralex	FATHER	-
eɡetə	egetə	EGETE	northeuralex	822_put	-
eɡetədej	egetədej	EGETEDEY	northeuralex	PICK UP	-
eɡetət͡ʃ	egetətʃ	EGETETS	northeuralex	822_put	-
eɡuʒu	eguʒu	EGUSU	northeuralex	WALK	-
eɲd͡ʒəʃ	eɲdʒəʃ	ENDSES	northeuralex	RAISE (BRING UP)	-
eɲɲə	eɲɲə	ENNE	northeuralex	BE ALIVE	-
ibiʃiː	ibiʃiː	IBISI	northeuralex	BREAST	-
ibiʎiɡe	ibiʎige	IBIIGE	northeuralex	OWL	-
ibiʎə	ibiʎə	IBIE	northeuralex	CRY	-
idejnudə	idejnudə	IDEYNUDE	northeuralex	SOMETIMES	-
idejnə	idejnə	IDEYNE	northeuralex	SOMETIMES	-
ideː	ideː	IDE	northeuralex	UNCLE	-
id͡ʒej	idʒej	IDSEY	northeuralex	MEASURE	-
id͡ʒeɲə	idʒeɲə	IDSENE	northeuralex	RAW	-
id͡ʒeː	idʒeː	IDSE	northeuralex	IN FRONT OF	-
id͡ʒiː	idʒiː	IDSI	northeuralex	HERE	-
ikʎoː	ikʎoː	IKO	northeuralex	SOLID	-
ilbunu	ilbunu	ILBUNU	northeuralex	FLOW	-
ilbədə	ilbədə	ILBEDE	northeuralex	SHAKE	-
ilek	ilek	ILEK	northeuralex	FOUR	-
ilekloː	ilekloː	ILEKLO	northeuralex	FOUR	-
inχodomeː	inχodomeː	INKODOME	northeuralex	FOREIGN	-
iril	iril	IRIL	northeuralex	BELLY	-
