Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
acih gikoh	acihgikoh	AKIHGIKOH	abvd	THOUSAND	-
acih gitoh	acihgitoh	AKIHGITOH	abvd	HUNDRED	abvd_209_onehundred_4
acoh	acoh	AKOH	abvd	DOG	abvd_96_dog_1
acɪh	acɪh	AKIH	abvd	ONE	abvd_197_one_1
adiŋ	adi	ADI	abvd	EAR	-
akkoh	akkoh	AKKOH	abvd	I	abvd_182_i_1
akkuh	akkuh	AKKUH	abvd	ASH	abvd_146_ashes_1
anaʔ	anaʔ	ANAH	abvd	CHILD	abvd_56_child_1
apoy	apoy	APOU	abvd	FIRE	abvd_143_fire_1
apò	ap	AP	abvd	DUST	abvd_11_dust_1
aran	aran	ARAN	abvd	NAME	abvd_63_name_1
atay	atay	ATAU	abvd	LIVER	abvd_17_liver_1
ataʔ buʔ	ataʔbuʔ	ATAHBUH	abvd	WHERE	-
atəʔ	atəʔ	ATEH	abvd	AT	abvd_173_at_24
bikaʔ	bikaʔ	BIKAH	abvd	FEAR (BE AFRAID)	-
bikɪh	bikɪh	BIKIH	abvd	SHOULDER	abvd_19_shoulder_1?
binəh	binəh	BINEH	abvd	HUSBAND	abvd_57_husband_1
bitoʔ	bitoʔ	BITOH	abvd	NECK	abvd_25_neck_35?
bittoh	bittoh	BITTOH	abvd	STONE	abvd_120_stone_1
biu	biu	BIU	abvd	WIND	abvd_136_wind_25?
biwaŋ	biwa	BIWA	abvd	LAKE	abvd_126_lake_13?
biʔeh	biʔeh	BIHEH	abvd	WIFE	-
bulin	bulin	BULIN	abvd	MOON	abvd_129_moon_1
buluh	buluh	BULUH	abvd	FEATHER	abvd_99_feather_1
busaʔ	busaʔ	BUSAH	abvd	FLOWER	abvd_116_flower_23
bə-karaŋ	bəkara	BEKARA	abvd	HUNT	-
bəkkəiʔ	bəkkəiʔ	BEKKEIH	abvd	HEAVY	abvd_142_heavy_1
bə|lio	bəlio	BELIO	abvd	RAT	abvd_102_rat_1?
cam	cam	KAM	abvd	SMOKE (EXHAUST)	-
ceh	ceh	KEH	abvd	FLESH OR MEAT	abvd_103_meatflesh_1
coʔ kədin	coʔkədin	KOHKEDIN	abvd	HOW	-
cuŋ	cu	KU	abvd	NOSE	abvd_27_nose_1
cəʔ	cəʔ	KEH	abvd	DRINK	-
diciʔ	diciʔ	DIKIH	abvd	SHORT	-
dicu	dicu	DIKU	abvd	FEMALE PERSON	-
dicum	dicum	DIKUM	abvd	NIGHT	abvd_167_night_20?
dik	dik	DIK	abvd	SMALL	abvd_152_small_1
diliʔ	diliʔ	DILIH	abvd	SEA	-
dimah pulo	dimahpulo	DIMAHPULO	abvd	FIFTY	-
dimmah	dimmah	DIMMAH	abvd	FIVE	abvd_201_five_1
dio	dio	DIO	abvd	FAR	abvd_180_far_1
dion	dion	DION	abvd	LEAF	abvd_114_leaf_1
diʔən	diʔən	DIHEN	abvd	BRANCH	abvd_113_branch_1
enum	enum	ENUM	abvd	SIX	abvd_202_six_1
gaduŋ	gadu	GADU	abvd	GREEN	abvd_151_green_28
gelpey	gelpey	GELPEU	abvd	NINE	-
gimauʔ	gimauʔ	GIMAUH	abvd	ROOT	abvd_115_root_3?
gimaʔ	gimaʔ	GIMAH	abvd	FOOT OR LEG	-
gium	gium	GIUM	abvd	CLOUD	abvd_131_cloud_1?
iko	iko	IKO	abvd	TAIL	abvd_105_tail_1
ilan	ilan	ILAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
iran	iran	IRAN	abvd	WHEN	abvd_170_when_1
isu	isu	ISU	abvd	HAND	abvd_1_hand_26
iteʔ	iteʔ	ITEH	abvd	BREAST	abvd_18_breast_6
jali	jali	YALI	abvd	TONGUE	abvd_32_tongue_4
jeʔ	jeʔ	YEH	abvd	BAD OR EVIL	abvd_165_badevil_1
jin	jin	YIN	abvd	GOOD	-
jipən	jipən	YIPEN	abvd	TOOTH	abvd_31_tooth_1
julu	julu	YULU	abvd	FLOW	-
juraŋ	jura	YURA	abvd	RED	-
jəh nɪh	jəhnɪh	YEHNIH	abvd	OTHER	-
kabəŋ	kabə	KABE	abvd	SWELL	abvd_87_toswell_20
kajuh	kajuh	KAYUH	abvd	STICK	abvd_79_stickwood_1
kam	kam	KAM	abvd	YOU	abvd_186_you_1
kameh	kameh	KAMEH	abvd	WE	abvd_185_we_2
kapan	kapan	KAPAN	abvd	BLUNT	-
kapaʔ	kapaʔ	KAPAH	abvd	CHEW	abvd_38_tochew_17?
katan	katan	KATAN	abvd	BITE	abvd_41_tobite_1?
kateʔ	kateʔ	KATEH	abvd	THROW	-
kaʔeh	kaʔeh	KAHEH	abvd	WHO	abvd_189_who_1?
ki appiəw	kiappiəw	KIAPPIEW	abvd	ABOVE	abvd_175_above_2?
ki ləppu	kiləppu	KILEPPU	abvd	BELOW OR UNDER	-
kijɪh	kijɪh	KIYIH	abvd	BIG	abvd_153_big_1?
kikiw	kikiw	KIKIW	abvd	SCRATCH	abvd_77_toscratch_1
kipəɪʔ	kipəɪʔ	KIPEIH	abvd	HOLD	-
kireŋ	kire	KIRE	abvd	NEW	-
kitah	kitah	KITAH	abvd	WE	abvd_185_we_1
kiŋəh	kiəh	KIEH	abvd	ROTTEN	-
kulaiʔ	kulaiʔ	KULAIH	abvd	SKIN	abvd_12_skin_1
kuman	kuman	KUMAN	abvd	EAT	abvd_37_toeat_1
kuniŋ	kuni	KUNI	abvd	YELLOW	abvd_150_yellow_1
kuroʔ	kuroʔ	KUROH	abvd	ROTTEN	-
kuttoh	kuttoh	KUTTOH	abvd	LOUSE	abvd_108_louse_1
kəbəiʔ	kəbəiʔ	KEBEIH	abvd	LONG	-
kəlawaʔ	kəlawaʔ	KELAWAH	abvd	SPIDER	abvd_110_spider_1
kənəh	kənəh	KENEH	abvd	CORRECT (RIGHT)	-
kəpaiʔ	kəpaiʔ	KEPAIH	abvd	NEAR	-
labih	labih	LABIH	abvd	DIRTY	-
lakaw	lakaw	LAKAW	abvd	WALK	abvd_5_towalk_1
lakeh	lakeh	LAKEH	abvd	MALE PERSON	abvd_54_manmale_2
lamin	lamin	LAMIN	abvd	HOUSE	abvd_61_house_13
laso	laso	LASO	abvd	WARM	abvd_138_warm_22
late	late	LATE	abvd	FOREST	-
lateh	lateh	LATEH	abvd	WORM	abvd_107_wormearthworm_1
lebih	lebih	LEBIH	abvd	TWO	abvd_198_two_1?
lebih pulo	lebihpulo	LEBIHPULO	abvd	TWENTY	-
likon	likon	LIKON	abvd	BACK	abvd_13_back_1
lippəh	lippəh	LIPPEH	abvd	THIN	abvd_156_thin_1
lipəh	lipəh	LIPEH	abvd	SNAKE	abvd_106_snake_1?
lum	lum	LUM	abvd	IN	abvd_174_ininside_1
luʔoŋ	luʔo	LUHO	abvd	FRUIT	-
ləmulon	ləmulon	LEMULON	abvd	PERSON	abvd_53_personhumanbeing_17
