Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-ge	ge	GE	abvd	NO OR NOT	abvd_195_nonot_23
a'ara	aara	AARA	abvd	WHO	-
abi	abi	ABI	abvd	KILL	-
abitari	abitari	ABITARI	abvd	HOLD	abvd_89_tohold_23
adara	adara	ADARA	abvd	HOW	-
adu	adu	ADU	abvd	BIRD	-
agara	agara	AGARA	abvd	PAINFUL OR SICK	-
aiteri	aiteri	AITERI	abvd	THREE	abvd_199_three_1?
aka	aka	AKA	abvd	NAME	abvd_63_name_1
akara	akara	AKARA	abvd	WHAT	-
ake	ake	AKE	abvd	FOOT OR LEG	abvd_4_legfoot_1
ana	ana	ANA	abvd	ONE	-
anadaevara	anadaevara	ANADAEBARA	abvd	FAR	-
ani	ani	ANI	abvd	EAT	abvd_37_toeat_1
apu	apu	APU	abvd	BITE	abvd_41_tobite_16
arima	arima	ARIMA	abvd	EARTH (SOIL)	abvd_119_earthsoil_21
arova	arova	AROBA	abvd	STICK	abvd_79_stickwood_12
ato	ato	ATO	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
ato'i	atoi	ATOI	abvd	EGG	abvd_98_egg_1
ausi	ausi	AUSI	abvd	FASTEN	abvd_66_totieupfasten_11
autu	autu	AUTU	abvd	IN	abvd_174_ininside_12
avae	avae	ABAE	abvd	WHERE	abvd_181_where_3
avage	avage	ABAGE	abvd	NO OR NOT	abvd_195_nonot_23
avakina	avakina	ABAKINA	abvd	WHEN	-
avanui	avanui	ABANUI	abvd	CORRECT (RIGHT)	-
avara	avara	ABARA	abvd	WIND	abvd_136_wind_74
baeau	baeau	BAEAU	abvd	OLD	abvd_162_old_18
baibai	baibai	BAIBAI	abvd	LONG	-
bairo	bairo	BAIRO	abvd	RAIN (PRECIPITATION)	-
bao	bao	BAO	abvd	BE DEAD OR DIE	abvd_75_todiebedead_12?
bati	bati	BATI	abvd	HIT	abvd_72_tohit_7
bautu	bautu	BAUTU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_18
beni	beni	BENI	abvd	BELLY	-
biti	biti	BITI	abvd	SHOOT	abvd_70_toshoot_22
biu	biu	BIU	abvd	FALL	abvd_95_tofall_25
boboga	boboga	BOBOGA	abvd	SWELL	abvd_87_toswell_18
boden	boden	BODEN	abvd	WIND	-
boira	boira	BOIRA	abvd	IF	abvd_193_if_9
bora	bora	BORA	abvd	STEAL	-
buau	buau	BUAU	abvd	TWO	abvd_198_two_11
bui	bui	BUI	abvd	SLEEP	-
daboro	daboro	DABORO	abvd	SHOULDER	-
dara	dara	DARA	abvd	CLIMB	-
dari	dari	DARI	abvd	COOK (SOMETHING)	abvd_39_tocook_114
dina	dina	DINA	abvd	DAY (NOT NIGHT)	abvd_168_day_11
doa	doa	DOA	abvd	STONE	abvd_120_stone_55
dogoi	dogoi	DOGOI	abvd	THROW	-
dori	dori	DORI	abvd	STAND	abvd_52_tostand_1
doru	doru	DORU	abvd	TAIL	abvd_105_tail_15
dovere	dovere	DOBERE	abvd	MOON	abvd_129_moon_15
dubaduba	dubaduba	DUBADUBA	abvd	BLACK	abvd_147_black_21
duvabu	duvabu	DUBABU	abvd	HEAVY	-
eama	eama	EAMA	abvd	BLOW (OF WIND)	-
ebeu	ebeu	EBEU	abvd	LEFT	-
epe	epe	EPE	abvd	EAR	-
evi	evi	EBI	abvd	FIRE	abvd_143_fire_1
evivara	evivara	EBIBARA	abvd	OPEN	-
flaualfaua	flaualfaua	PLAUALPAUA	abvd	FLOWER	abvd_116_flower_L
gabu	gabu	GABU	abvd	BURN	abvd_144_toburn_16
gadara	gadara	GADARA	abvd	NEW	-
gaema	gaema	GAEMA	abvd	CRY	-
gagaro	gagaro	GAGARO	abvd	SCRATCH	abvd_77_toscratch_1
gagatuna	gagatuna	GAGATUNA	abvd	FOREST	-
gagau	gagau	GAGAU	abvd	SAND	abvd_121_sand_17
garu	garu	GARU	abvd	NIGHT	abvd_167_night_17
gedu	gedu	GEDU	abvd	NECK	abvd_25_neck_30
geragera	geragera	GERAGERA	abvd	ROTTEN	-
geragerama	geragerama	GERAGERAMA	abvd	BAD OR EVIL	-
giriva	giriva	GIRIBA	abvd	LAUGH	abvd_33_tolaugh_67
goagoa	goagoa	GOAGOA	abvd	WHITE	-
goai	goai	GOAI	abvd	FOG	-
goba	goba	GOBA	abvd	TONGUE	abvd_32_tongue_22
gobi	gobi	GOBI	abvd	VOMIT	-
gobugobura	gobugobura	GOBUGOBURA	abvd	YELLOW	abvd_150_yellow_21
goigoibo	goigoibo	GOIGOIBO	abvd	LIVER	-
gori	gori	GORI	abvd	STAB	abvd_71_tostabpierce_20
guba	guba	GUBA	abvd	SKY	abvd_128_sky_17
guni	guni	GUNI	abvd	IN	abvd_174_ininside_12
ia	ia	IA	abvd	HE OR SHE	abvd_184_heshe_1
idi	idi	IDI	abvd	THEY	abvd_187_they_25
ima	ima	IMA	abvd	HAND	abvd_1_hand_1
ina	ina	INA	abvd	THIS	abvd_177_this_67
ini	ini	INI	abvd	EYE	abvd_45_eye_7
iregarega	iregarega	IREGAREGA	abvd	BRANCH	abvd_113_branch_1
ita	ita	ITA	abvd	WE	abvd_185_we_1
kau	kau	KAU	abvd	DUST	abvd_11_dust_17
kerere	kerere	KERERE	abvd	PAINFUL OR SICK	-
kina	kina	KINA	abvd	DAY (NOT NIGHT)	abvd_168_day_11
kinoni	kinoni	KINONI	abvd	SMELL (PERCEIVE)	-
konau	konau	KONAU	abvd	ROPE	abvd_65_rope_20
kua	kua	KUA	abvd	NOSE	abvd_27_nose_1
kuku	kuku	KUKU	abvd	BREAST	abvd_18_breast_1
lagani vere	laganivere	LAGANIBERE	abvd	YEAR	abvd_169_year_16
mama idoi	mamaidoi	MAMAIDOI	abvd	ALL	abvd_191_all_15
maru	maru	MARU	abvd	SQUEEZE	abvd_88_tosqueeze_25
mauri	mauri	MAURI	abvd	BE ALIVE	abvd_76_tolivebealive_1
memea	memea	MEMEA	abvd	COLD	abvd_139_cold_19
miti	miti	MITI	abvd	SMALL	-
moa	moa	MOA	abvd	TOOTH	abvd_31_tooth_66
mona	mona	MONA	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_1
mora	mora	MORA	abvd	HUSBAND	-
morimori	morimori	MORIMORI	abvd	RED	-
mota	mota	MOTA	abvd	SNAKE	abvd_106_snake_12
moti	moti	MOTI	abvd	SUCK	abvd_42_tosuck_6
nai	nai	NAI	abvd	WE	-
natu	natu	NATU	abvd	CHILD	abvd_56_child_5
nau	nau	NAU	abvd	I	abvd_182_i_1
neina	neina	NEINA	abvd	THIS	abvd_177_this_67
nemu	nemu	NEMU	abvd	MOSQUITO	abvd_109_mosquito_1
nena	nena	NENA	abvd	BREATHE	-
nenu	nenu	NENU	abvd	THIS	-
nivi	nivi	NIBI	abvd	DREAM (SOMETHING)	abvd_50_todream_1
nogara	nogara	NOGARA	abvd	CLOUD	abvd_131_cloud_24
nu	nu	NU	abvd	THAT	-
nuda	nuda	NUDA	abvd	WET	-
numa	numa	NUMA	abvd	HOUSE	abvd_61_house_1
o'oi	ooi	OOI	abvd	DOG	-
o'oure	ooure	OOURE	abvd	RAT	abvd_102_rat_20
oa	oa	OA	abvd	MOUTH	abvd_30_mouth_36
obo'obo	oboobo	OBOOBO	abvd	SHORT	abvd_154_short_20
oita	oita	OITA	abvd	SPLIT	-
oni	oni	ONI	abvd	THOU	abvd_183_thou_1
onoi	onoi	ONOI	abvd	SEE	-
opi	opi	OPI	abvd	SKIN	abvd_12_skin_15
orebe	orebe	OREBE	abvd	FISH	abvd_111_fish_10
paisoa	paisoa	PAISOA	abvd	WORK (ACTIVITY)	abvd_83_towork_20
rae	rae	RAE	abvd	PATH OR ROAD	abvd_6_roadpath_1
ragi	ragi	RAGI	abvd	GOOD	-
ramuramu	ramuramu	RAMURAMU	abvd	ROOT	abvd_115_root_3
rara	rara	RARA	abvd	BLOOD	abvd_23_blood_1
ravi	ravi	RABI	abvd	DIG	abvd_90_todig_12
reia	reia	REIA	abvd	CUT OR HACK	abvd_78_tocuthack_31?
revo	revo	REBO	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_1
rimu	rimu	RIMU	abvd	HAIR	abvd_26_hair_17
roro	roro	RORO	abvd	SWIM	-
rova	rova	ROBA	abvd	SEA	abvd_124_sea_39
rugu	rugu	RUGU	abvd	LEAF	abvd_114_leaf_16
ruma	ruma	RUMA	abvd	HOUSE	abvd_61_house_1
tagigi	tagigi	TAGIGI	abvd	HUNT	-
tama	tama	TAMA	abvd	FATHER	abvd_60_father_1
tanuyau|o	tanuyauo	TANUUAUO	abvd	SIT	-
tari	tari	TARI	abvd	SALT	abvd_125_salt_20
tau	tau	TAU	abvd	PERSON	abvd_53_personhumanbeing_1
tauga	tauga	TAUGA	abvd	DAY (NOT NIGHT)	-
tebina	tebina	TEBINA	abvd	NEAR	abvd_179_near_20
teia	teia	TEIA	abvd	SAY	-
tibona	tibona	TIBONA	abvd	OTHER	-
tina	tina	TINA	abvd	MOTHER	abvd_59_mother_1
tinea	tinea	TINEA	abvd	INTESTINES	abvd_16_intestines_1
